Title                       Countries Points     Position
Alessandro Tinti                        ITA   142   171
Borja Yribarren Abecia                  ESP   142   171
Bram Meijer                             NED   142   171
Adrian Blanco Antelo                    ESP   141   174
Alejandro Urzola Abad                   ESP   139   175
Ramiro Pereyra                          ARG   139   175
Diego Ramos                             URU   138   177
Cristobal Martinez                      CHI   137   178
Cristobal Molina                        CHI   137   178
Valentino Libaak                        ARG   137   178
Federico Beltrami                       ITA   136   181
Gonzalo Diaz Sangiorgio                 ESP   135   182
Octavio Jorge Lara                      MEX   135   182
Samuel Jones                            GBR   134   184
Javier Perez Morillas                   ESP   132   185
Adrian Rodriguez Rodriguez-Manzaneque   ESP   130   186
Sten Richters                           NED   128   187
Dylan Guichard                          FRA   126   188
Abdulla Alhijji                         QAT   125   189
Santiago Rolla                          ARG   122   190
Pol Hernandez Alvarez                   ESP   120   191
Carlos Valero Perez Marco               ESP   118   192
Mario Cerezo Casado                     ESP   117   193
Boris Castro Garcia                     ESP   114   194
Juan Ignacio Rubini                     ARG   114   194
Francisco Alameda Robles                ESP   113   196
Sergi Arquerons Sanchez                 ESP   110   197
Pablo Gonzalez Neria                    ESP   109   198
Miguel Oliveira                         POR   106   199
Jabor Al-Mutawa                QAT   105   200
Gonzalo Escobar                ARG   102   201
Miguel Morales Domenech        ESP    98   202
Alex Chozas                    ARG    95   203
Pablo Cuesta Gomez             ESP    94   204
Abdulaziz Saadon Alkuwari      QAT    93   205
Fabricio Parra Heck            ARG    92   206
Mohammed Abdulla               QAT    92   206
Nicolai Maniucov Maniucova     ESP    90   208
Mohammed Al Khanji             QAT    89   209
Miguel Melero Bernal           ESP    88   210
Guillem Figuerola Santiago     ESP    87   211
Facundo Rodrigo Luis Lopez     ARG    85   212
Joao Pedro Flores              BRA    85   212
Lautaro Mambrini               ARG    85   212
Jorge Senoran Fructuoso        ESP    81   215
Marcello Paiva Jardim          BRA    81   215
Xavi Rodriguez Villa           ESP    79   217
Afonso Fazendeiro              POR    78   218
Alvaro Lopez Luque             ESP    78   218
Higor Ensslin Alves            URU    78   218
Manuel Vives                   FRA    78   218
Rodrigo Coello Manso           ESP    76   222
Maximo Jesus Maldonado         ARG    75   223
Javier Bravo Alvarez                  74   224
Raul Mendez Carranco           MEX    74   224
Exequiel MouriÃ±o              ARG    73   226
Nalle Grinda                   MON    73   226
Andre Freitas                  BRA    72   228
Karlos Rodriguez Vidal         ESP    71   229
Leonel Mariano Romano          ARG    71   229
Carlos Luna                    ECU    70   231
Juan Ignacio De Pascual        ARG    70   231
Mauricio A Rivero              ARG    70   231
Maximiliano Sanchez Blasco     ARG    70   231
Pablo Francisco A. Hernandez   MEX    70   231
Alberto Gasca Romero           ESP    68   236
Alejandro Tasa Van Beek        ESP    68   236
Edoardo Sardella               ITA    68   236
Joaquin Gaitan Bernardi        ARG    66   239
Julian Leite                   ARG    66   239
Juan Mieres Petruf             ESP    65   241
Martin Ariel Andornino         ITA    64   242
Daniel Santigosa Sastre               63   243
Nahuel Pineda                  ARG    62   244
Filippo Scala                  ITA    61   245
Sergio Esteban Barroso         ESP    61   245
Joaquin De Astoreca            ARG    60   247
Juan Pablo Dip Nazar           ARG    60   247
Pablo Nicolas Egea             ARG    60   247
Ali Alsaygh                      QAT   59   250
Michele Bruno                    ITA   59   250
Jose Angel Montoya               MEX   58   252
Anton Andersson                  SWE   57   253
David Gala Sanchez               ESP   57   253
Luca Mezzetti                    ITA   57   253
Pablo Olmo Villa                 ESP   57   253
Ferran Insa Sotillo              ESP   56   257
Facundo Erguy                    ARG   55   258
Ignacio Andres Lehyt Sances      CHI   55   258
Matias Gonzalez Galan            ARG   55   258
Youssef Hossam                   EGY   55   258
Adrian Martinez Galindo          ESP   54   262
Joaquim Florensa Hernandez       ESP   54   262
Federico Galli                   ITA   52   264
Fabio Gabriel Maldonado          ARG   51   265
Luciano Puppo                    ARG   51   265
Sebastian Solenghi               ARG   50   267
Alberto Garcia Jimenez           ESP   49   268
Gonzalo Sassano                  ARG   49   268
Roberto Rodriguez Alonso         ESP   49   268
Giulio Graziotti                 ITA   48   271
Juan Manuel ArgaÃ±aras           ARG   47   272
Matias Emiliano Gutierrez C.     ARG   47   272
Gabriel Eduardo Molina           ARG   46   274
Leandro Roman Augsburger         ARG   46   274
Albert Carmona Marin             ESP   45   276
Javier Lopez Garcia              ESP   45   276
Pablo Deltell Juan               ESP   45   276
Sergi Guimet Bigas               ESP   45   276
Giulio Lovascio                  ITA   44   280
Khalid Saadon Alkuwari           QAT   44   280
Matias Emmanuel Del Moral        ARG   44   280
Sebastian MuÃ±oz Campos          CHI   43   283
Aly Zaghloul                     EGY   42   284
Asier Maqueda Laboret            ESP   42   284
Igor Amondarain Gonzalez         ESP   42   284
Nicolas Crosio                   ARG   42   284
Diego Pascual Simon Tomas              41   288
Fernando Martin Lopez            ESP   41   288
Francisco Javier Velasco Ayuso   ESP   41   288
Joaquin Mazzeo Rubi              ARG   41   288
Jose Pablo Padilla               MEX   41   288
Alvaro Garcia Gallego            ESP   40   293
Federico Fabian Mujica           MEX   40   293
Guillermo Casal Maldonado        ESP   40   293
Iago Gonzalez NiÃ±o              ESP   40   293
Nicolas Zurita                   ARG   40   293
Rayyan Al Jufairi                QAT   40   293
Ahmed Alaa Marzouk               EGY   39   299
Alejandro Jerez Carnero     ESP   39   299
Daniel De Castro            ESP   39   299
Felipe Callejas             ARG   39   299
German Gaston Buenanueva    ARG   39   299
Henrique Barbosa            POR   39   299
Javier Agustin Reiter       ARG   39   299
Pablo Molina Tofanelli      ARG   39   299
Valentin San Juan           ARG   39   299
Giacomo Miccini             ITA   38   308
Pedro Toccafondo Neto       BRA   38   308
Alejandro Navas Balaguer    ESP   37   310
Julien Seurin               FRA   37   310
Khaled Nagy                 EGY   37   310
Lucas Cunha                 BRA   37   310
Ludovic Cancel              FRA   37   310
Manuel Prado Prego          ESP   37   310
Seif Adel Abou Senna        EGY   37   310
Bruno Nakid                 BRA   36   317
Daniel Luna Peinado         ESP   36   317
Fernando MuÃ±oz             ARG   36   317
Ivan Lopez MuÃ±oz           SUI   36   317
Juan Pablo Andrada          ARG   36   317
Leonardo Yob                ARG   36   317
Roberto Belmont Pastor      ESP   36   317
Alejandro Moya Rodriguez    ESP   35   324
Gustavo Ariel Aguirre       ARG   35   324
Luciano Romano              ARG   35   324
Manuel Aragon Herrera       ESP   35   324
Tomas Luco                  ARG   35   324
Georges Wakim               EGY   34   329
Ignacio Archieri            ARG   34   329
Nicolas Brusa               ITA   34   329
Rafael Moreno Negrin        ESP   34   329
Javier Hazouri Celorio      MEX   33   333
Jose Maria Alvarez Torres   MEX   33   333
Stefano Palma Flores        BRA   33   333
Uriel Maarsen               NED   33   333
Thomas Vanbauce             FRA   32   337
Ali Alarif                  UAE   31   338
Daniel Martinez Otero       ESP   31   338
Dorian De Meyer             FRA   31   338
Fares Al Janahi             UAE   31   338
Jose Juan Matea Delgado     ESP   31   338
NicolÃ² Cotto               ITA   31   338
Ahmed Mostafa Nazir         EGY   30   344
Enzo Jensen Sirvent               30   344
Francisco Maier             ARG   30   344
Ian Walker                  CHI   30   344
Javier Puerto Elvira        ESP   30   344
Jorrit Notenboom            NED   30   344
Jose Maria Garcia sanchez-Castilla   ESP   30   344
Linus Frost                          SWE   30   344
Lucas Danuzzo                        ARG   30   344
Rayan Abdulla                        QAT   30   344
Tamer Hanna                          EGY   30   344
Arnau Riba                           ESP   29   355
Hugo Garcia Martinez                 ESP   29   355
Jesus Ruiz Bohorquez                 ESP   29   355
Manuel Delgado Bertuchi              ESP   29   355
Miguel Angel Fernandez Sota          ESP   29   355
Shungo Kusakabe                      JPN   29   355
Ignacio Alonso Chillaron             ESP   28   361
Martin Rubini                        ARG   28   361
Raul Peralta Corredor                      28   361
Albin Olsson                         SWE   27   364
Alfonso Viuda Hernandez              ESP   27   364
Dylan Demian Cuello                  ARG   27   364
Viktor Stjern                        SWE   27   364
Abdulla Alemadi                      QAT   26   368
Gonzalo Vera                         ARG   26   368
Guillermo Collado Losada             ESP   26   368
Johan Fors                           SWE   26   368
Joshua Pirraglia                     ITA   26   368
Yann Auradou                         FRA   26   368
Alberto MiÃ±arro Rubio               ESP   25   374
Alejo Gimenez                        ARG   25   374
Ali Al Yafei                         QAT   25   374
Antonio Gonzalez vazquez-Monjardin   ESP   25   374
Carlos Lopez Hidalgo                 ESP   25   374
Hector Guisande Fraga                      25   374
Jacobo Perez Cendon                  ESP   25   374
Julio Cesar Julianoti                BRA   25   374
Louie Harris                         GBR   25   374
Maximiliano Raul Sanchez Aguero      ARG   25   374
Nasser Al Yafei                      QAT   25   374
Omar Matias Ortiz                    ARG   25   374
Pablo Hernan Barrera                 ARG   25   374
Pelayo Villaverde Millan             ESP   25   374
Pol Espinal Rey                      ESP   25   374
Ryosuke Gomi                         JPN   25   374
Alex Cinca Hernandez                 ESP   24   390
Javier Eloy Perez Perez              ESP   24   390
Johannes Lindmeyer                   GER   24   390
Marc Munne Cuevas                    ESP   24   390
Martin Araujo De Lizarza             ARG   24   390
Matthias Wunner                      GER   24   390
Oier Zuazua Aostri                   ESP   24   390
Rene Lindenbergh                     NED   24   390
Diego Sebastian Ruiz                 ARG   23   398
Julian Di Bene                       ITA   23   398
Nicolas Cruz Camoriano               ARG   23   398
Oscar Vazquez Fernandez              ESP   23   398
Santino Giuliani Lombardo            ARG   23   398
Alan Gabriel Ibarrola                ARG   22   403
Alberto Sese IbaÃ±ez                 ESP   22   403
Bart Van Opstal                      NED   22   403
Federico Salaro                      ARG   22   403
Luca Santino Cortese                 ARG   22   403
Mauricio Jara Saez                   CHI   22   403
Miguel Deus                          POR   22   403
Nick Braet                           BEL   22   403
Nuno Deus                            POR   22   403
Robin Sietsma                        NED   22   403
Werner Lootsma                       NED   22   403
Agustin Salaro                       ARG   21   414
Alberto Molina Dominguez             ESP   21   414
Frederick Francis Schaefer           NOR   21   414
Ignacio Jara Saez                    CHI   21   414
Jorge Angles Ponce                   ESP   21   414
Jose Pedro Montalban Martin          ESP   21   414
Maximiliano MontaÃ±o                 MEX   21   414
Adria Costa Lechon                   ESP   20   421
Claudius Panske                      GER   20   421
David Antolin Solla                  ESP   20   421
Denis Ignacio Caluva                 ARG   20   421
Ezio Antonio Zama Desoche            MEX   20   421
Ivan Garcia Aceituno                 ESP   20   421
Luciano Moreta                       ARG   20   421
Marcos Jimenez Escobar               ESP   20   421
Moises Rafael Rivero                 MEX   20   421
Pablo Pastor Landaburu               ESP   20   421
Andy De Bruijne                      NED   19   431
Antonio Varo Ramos                   ESP   19   431
Eneko Arija Ochoa De Alda            ESP   19   431
Joaquin Terceros                     ARG   19   431
Jose Maria Benavides Ponce De Leon   ESP   19   431
Marcelo Saavedra                     ARG   19   431
Marcos Gonzalez Blanco               ESP   19   431
Philemon Raichman                    FRA   19   431
Abdulrahman Alawadhi                 KUW   18   439
Agustin Pioli                        ARG   18   439
Arturo Miguel Hernando NuÃ±ez        ESP   18   439
Douglas Rutgersson                         18   439
Emanuel Juan Mandrile                ARG   18   439
Esteban Poletti                      ARG   18   439
Facundo Martin Silva                 ECU   18   439
Farid Sat                            ARG   18   439
Fernando Poggi                       ARG   18   439
Fredrik Ask                          NOR   18   439
Gustavo Briner                       ARG   18   439
Joaquin Paez                        ARG   18   439
Juan Pablo Castillo                 MEX   18   439
Marcos Alejo Mardones               ARG   18   439
Oriol Bernal Sans                   ESP   18   439
Pablo Sisti                         ARG   18   439
Pedro Sequeira                      BRA   18   439
Ramon Meza ZuÃ±iga                  CHI   18   439
Adrian Corona Roldan                ESP   17   457
Adrian Perez                        PAR   17   457
Andres Luciano Danei Linaza         ARG   17   457
Daniel Luengo Calado                ESP   17   457
Farsad Shahi                        IRI   17   457
Juan Ignacio Artia                  URU   17   457
Manuel Alejandro Moreira            ITA   17   457
Mariano Battistella                 ARG   17   457
Oriol Bellver Ruiz                  ESP   17   457
Santiago Manuel Colombo R.          ARG   17   457
Tomas Alaimo                        ARG   17   457
Tomas Martinez Pezoa                CHI   17   457
Alejandro Rodriguez Duch            ESP   16   469
Alvaro Padilla                      MEX   16   469
Andre Veiga Trindade                URU   16   469
Juan Carlos Diaz Martin                   16   469
Lucas Antonini                      ARG   16   469
Luis Antonio Becerra                CHI   16   469
Mariano Danei Linaza                ARG   16   469
Matheus De Avila Simonato           BRA   16   469
Maxime Forcin                       FRA   16   469
Nicolas Lujan Castaneda             ARG   16   469
Pablo Tejero Delgado                ESP   16   469
Simone Iacovino                     ITA   16   469
Cristian Arias Mayoral              ESP   15   481
Daniel Alberto Chelar               ARG   15   481
Gonzalo Daniel Frete                ARG   15   481
Guillem Arno Blasi                  ESP   15   481
Jarek Jozwiak                             15   481
Joaquin Saura Padilla               ESP   15   481
Juan Bautista Moratorio Larrechea   URU   15   481
Keisuke Tomoda                      JPN   15   481
Kohei Hisatome                      JPN   15   481
Mohit Mohit                         IND   15   481
Oscar Guiral Mallart                ESP   15   481
Pablo Jose Diaz Romero              ESP   15   481
Sattam Alshahrani                   KSA   15   481
Sherif Mohamed Makhlouf             EGY   15   481
Timothy Robin Brown                       15   481
Agustin Gallardo                    ARG   14   496
Felix Gonzales                      ARG   14   496
Gabriel Londero Almeida             BRA   14   496
Gaston Lazzarini                    ARG   14   496
Giovanni Flores                           ARG   14   496
Jeremias Rufino                           ARG   14   496
Jose Ignacio Aranda                       ARG   14   496
Juliano Bergamini                         BRA   14   496
Miguel Briega Ramos                             14   496
Nelson Davila                             CHI   14   496
Noe Navarro Porras                        ESP   14   496
Omar Makhlouf                             EGY   14   496
Tomas Azocar                              CHI   14   496
Ahmed El Derwy                            EGY   13   509
Emilio Trejo                              MEX   13   509
Ethan Miguel Gonzalez Herrera             ESP   13   509
Ferran Gonzalez Zamorano                  ESP   13   509
Ivan Arrondo Perez                        ESP   13   509
Jorge Burgos Luca De Tena                 ESP   13   509
Jorge Marcelo Daud                        ARG   13   509
Juan Cruz Forastello                      ARG   13   509
Juan Pablo Vanella                        ITA   13   509
LoÃ¯c Le Panse Fernandez                  FRA   13   509
Mauro Valentino Montenegro                ARG   13   509
Maximiliano Ezequiel Fernandez            ARG   13   509
Orlando Juarez Cano                       MEX   13   509
Pedro Carlos Garcia-Consuegra gutierrez         13   509
Sergio Puertolas Robles                   ESP   13   509
Simon Charaf Jones                        MEX   13   509
Teo Gamondi                               ARG   13   509
Adrian Lopez                              ARG   12   526
Agustin Maximiliano Parisi                ARG   12   526
Alejandro Jose Morcos                     ARG   12   526
Andres Arredondo                          MEX   12   526
Axel Hein                                 ARG   12   526
Carlos Jacobo H. Martinez                 MEX   12   526
Cesar Luis Parodi                         ARG   12   526
Cristian Daniel Ozan                      ARG   12   526
Dario Gabriel Sacca                       ARG   12   526
Diego Morat                               ARG   12   526
Edgar Espinosa Angelino                   MEX   12   526
Emiliano Ariel Rizo                       ARG   12   526
Gustavo Javier Mesa                       ARG   12   526
Ignacio Lascioli                          ARG   12   526
Jeremy Gala                               BEL   12   526
Jeronimo Escalante Diz                    MEX   12   526
Joel Olivera Palos                        ESP   12   526
Jose Laurenti                             ARG   12   526
Juan Figueroa Ayala                       ESP   12   526
Juan Pablo Dametto                        ARG   12   526
Luca Cortese                              ARG   12   526
Luciano Soliverez                         ARG   12   526
Maciej Naduk                              POL   12   526
Mahmoud Moharam                           EGY   12   526
Marcelo Nicoloso Machado            BRA   12   526
Marcos Andrada                      ARG   12   526
Mark Isaac Asher Herzberg           MEX   12   526
Nicolas Arno                        ARG   12   526
Pablo Diaz Romero                   ESP   12   526
Pedro Jose CerdeÃ±o Alonso          ESP   12   526
Abdullah A. A. I. Alabdulla         UAE   11   556
Andrea Melisi                       ITA   11   556
Andres Fernandez Lancha                   11   556
Benjamin Grue                       FRA   11   556
Claudio SantibaÃ±ez                 CHI   11   556
Daniel Salinas Ordenes              CHI   11   556
David Macia Dominguez               ESP   11   556
Fernando Gonzalez                   CHI   11   556
Gerard Arnaldos Serranos            ESP   11   556
Jasper Smit                         NED   11   556
Joel Fernandez MuÃ±oz               ESP   11   556
Juan Carlos Gama Gonzalez           ESP   11   556
Lucas Benjamin Falco                ARG   11   556
Marc Pou Serra                      ESP   11   556
Mario Gutierrez Soria               ESP   11   556
Marwan Fayad                        EGY   11   556
Mateusz Lipinski                    POL   11   556
Menno Nolten                        NED   11   556
Mohamed El Garhy                    EGY   11   556
Nicolas Cordoba                     ARG   11   556
Seif Alaa                           EGY   11   556
Yassin Zanoun                       EGY   11   556
Youssef Hamido                      EGY   11   556
Aley Shokeir                        EGY   10   579
Alvaro Matador Garcia De Vinuesa    ESP   10   579
Ariel Williams Carrasco Paricollo   ESP   10   579
Daniel Appelgren                    SWE   10   579
Daniel Lopez Gutierrez              ESP   10   579
Diego Nieto Sanchez                 ESP   10   579
Felipe Braga Jorge                  BRA   10   579
Fernando David Suarez               ARG   10   579
Florian Valsot                      FRA   10   579
Gaston Zarate                       ECU   10   579
Ids Hannema                         NED   10   579
Joris De Weerdt                     BEL   10   579
Juan Manuel Vazquez                 ARG   10   579
Julio Pulido Alegre                 ESP   10   579
Nicola Remedi                       ITA   10   579
Nicolo Chiampo                      ITA   10   579
Omar Sabry                          EGY   10   579
Quentin Ayuso                       FRA   10   579
Ricardo Cabello Giacalone           ESP   10   579
Saverio Lancellotti                 ITA   10   579
Sebastiao MendonÃ§a                 POR   10   579
Yousef Khamis                    EGY   10   579
Adrian Gonzalez Jimenez          ESP    9   601
Alfonso Sanchez Arriaga          ESP    9   601
Anderson Haygert                 BRA    9   601
Bram Coene                       BEL    9   601
Daniel Lingen                    GER    9   601
Enrique Martos Lopez             ESP    9   601
Felipe Furghestti                BRA    9   601
Israel Valero                    ESP    9   601
Josep Aymerich Bellmunt          ESP    9   601
Marcio Andre Crizel              BRA    9   601
Ahmed Ismail                     EGY    8   611
Alain Mankabady                  EGY    8   611
Alejandro Perez Porta            ESP    8   611
Antonio Jesus Vallejos Perez     ESP    8   611
Arya Roghani                     IRI    8   611
Borja Trujillo Chang             ESP    8   611
Christian OrduÃ±a Guzman         MEX    8   611
Daniele Catini                   ITA    8   611
Diego Dorta Diaz                 ESP    8   611
Emeric Navarro                          8   611
Fahad Sulaiman Al Saad           KSA    8   611
Florian Vandelanotte             BEL    8   611
German Faure                     ARG    8   611
Gianluca Reynafe                 ARG    8   611
Giovane Porciuncula Nucci               8   611
Gonzalo Agustin Escobar                 8   611
Isaac Huysveld                   BEL    8   611
Javier Perez Moreno              MEX    8   611
Joao Pedro                       BRA    8   611
Jose Martinez                           8   611
Jose Pablo Rojas Zepeda          MEX    8   611
Keita Watanabe                   JPN    8   611
Lucas Fernandes                  BRA    8   611
Luis Enrique Barrientos Garcia   MEX    8   611
Mamatsu Arakawa                  JPN    8   611
Marc Pastor Montserrat           ESP    8   611
Matias Ortiz                     ARG    8   611
Mohamed Elzayat                  EGY    8   611
Nicolas Trancart                 FRA    8   611
Olle Andersson                   SWE    8   611
Omar Althagib                    KSA    8   611
Omar Tarek                       EGY    8   611
Pier Giulio Farabbi              ITA    8   611
Ross Alexander Willi Taylor             8   611
Saul Rubio Ponce                 ESP    8   611
Seif Elkhayat                    EGY    8   611
Sergio Nieto Simon                      8   611
Theo Bernardo Dos Santos         BRA    8   611
Till Gygax                       SUI    8   611
Ukyo Abe                         JPN   8   611
Valentin Piastri                 URU   8   611
Yusuke Goto                      JPN   8   611
Alessandro Formica               ITA   7   653
Alexandr Dubrovin                MDA   7   653
Alvaro Sola Alba                       7   653
Aly Fahmy                        EGY   7   653
Amr Adel                         EGY   7   653
Carlos Aranda Pez                ESP   7   653
Christian Bohnke                 DEN   7   653
Christian Guisado Fernandez      ESP   7   653
Cristian Calneggia               ITA   7   653
Daniel Machuca Romero            ESP   7   653
Edoardo Bufo                     ITA   7   653
Fernando Zambrano Sanchez        ESP   7   653
Franco Soria                     URU   7   653
Hugo Lorenzo Serrano             ESP   7   653
Ignacio Gomez Bravo              ESP   7   653
Jordi EspaÃ±ol Spuch             ESP   7   653
Jose Manuel Ortiz Llerena        ESP   7   653
Juan Pedro Ramirez Ruiz          ESP   7   653
Lucas De Souza Teixeira          BRA   7   653
Manuel Yuste Apolinar            ESP   7   653
Michel Diniz                     BRA   7   653
Nestor Hernandez Ribas           ESP   7   653
Nicolas Macchiaroli              ITA   7   653
Pierantonio Gherardi             ITA   7   653
Pierre Valsot                    MON   7   653
Rikard RÃ¥Ã¥d                    SWE   7   653
Santiago Jose Pineda Cabello     ESP   7   653
Simone Codovini                  ITA   7   653
Skirmantas Macinskas Macinskas   LTU   7   653
Sven Boele                       NED   7   653
William Rota                     ITA   7   653
Abdulaziz Redha                  KUW   6   684
Abdullah Ahli                          6   684
Adham El Zarka                   EGY   6   684
Albert Guasch Bonilla            ESP   6   684
Alberto Simon Garcia             ESP   6   684
Alfonso Navarro Asenjo           CHI   6   684
Ali Alaa                         EGY   6   684
Andres Britos                    ITA   6   684
Carlos Zarhi                     CHI   6   684
Chris Salisbury                  GBR   6   684
Cleo Carvalho                    BRA   6   684
Diego Garcia Garcia              ESP   6   684
Enrique Vizcino Perez            ESP   6   684
